Organization,Organization Description,Country,Organization Employee Count,Funding Total Value USD,Funding Total Currency,Last Funding Type,Categories,Organization Name,Founders,Investors
BridgeBio,BridgeBio focuses on the development and commercialization of precision medicines for various genetic diseases and cancers.,United States,251-500,"$4,349,200,000",USD,post_ipo_debt,"Biotechnology, Health Care, Life Science, Medical, Pharmaceutical",BridgeBio,"Charles Homcy, Frank McCormick, Neil Kumar","Blue Owl, Sequoia Capital, Perceptive Advisors, Viking Global Investors, Kohlberg Kravis Roberts"
Healthpeak Properties,Healthpeak Properties is an investment trust for healthcare properties.,United States,101-250,"$4,250,000,000",USD,post_ipo_debt,"Health Care, Real Estate",Healthpeak Properties,,
Vaxcyte,Vaxcyte focuses on developing vaccines designed to prevent or treat some of the most common and deadly infectious diseases worldwide.,United States,251-500,"$3,847,040,000",USD,post_ipo_equity,"Biopharma, Biotechnology, Health Care",Vaxcyte,"Ash Khanna, Grant E. Pickering, Jeff Fairman","RA Capital Management, TPG Growth, Longitude Capital, Frazier Healthcare Partners, Medicxi"
Altos Labs,"Altos Labs focuses on cellular rejuvenation programming to restore cell health and resilience, to reverse disease to transform medicine.",United States,251-500,"$3,000,000,000",USD,series_a,"Biopharma, Biotechnology, Health Care, Health Diagnostics, Medical",Altos Labs,"Hal Barron, Hans Bishop, Rick Klausner",ARCH Venture Partners
Roivant Sciences,Roivant Sciences is a biopharmaceutical company focused on the development of medicines and healthcare technologies to patients.,United States,251-500,"$2,473,000,000",USD,post_ipo_equity,"Biopharma, Biotechnology, Health Care, Pharmaceutical, Product Research",Roivant Sciences,Vivek Ramaswamy,"Palantir Technologies, Founders Fund, RTW Investments, SoftBank Vision Fund, Patient Square Capital"
Amicus Therapeutics,Amicus Therapeutics is a biopharmaceutical company developing therapies for the treatment of rare and orphan diseases.,United States,251-500,"$2,430,652,943",USD,post_ipo_debt,"Biotechnology, Health Care, Pharmaceutical, Therapeutics",Amicus Therapeutics,John Crowley,"New Enterprise Associates, MidCap Financial, Blackstone Life Sciences, Frazier Healthcare Partners, Blackstone Credit"
Omega Healthcare Investors,Omega Healthcare Investors support the goals of skilled nursing and assisted living facility operators with financing and capital.,United States,51-100,"$1,700,000,000",USD,post_ipo_debt,"Building Material, Financial Services, Health Care, Real Estate",Omega Healthcare Investors,,
Intarcia Therapeutics,Intarcia Therapeutics develops therapies for diseases that require long-term chronic treatment.,United States,251-500,"$1,683,530,937",USD,series_unknown,"Biotechnology, Health Care, Health Diagnostics, Medical Device, Personal Health",Intarcia Therapeutics,,"New Enterprise Associates, Bill & Melinda Gates Foundation, Venrock, RA Capital Management, MidCap Financial"
Harmony Biosciences,Harmony Biosciences is a pharmaceutical company that develops and commercializes novel therapies for rare neurological disorders.,United States,251-500,"$1,683,000,000",USD,post_ipo_secondary,"Biopharma, Biotechnology, Health Care",Harmony Biosciences,Jeff Aronin,"Valor Equity Partners, OrbiMed, Vivo Capital, Blackstone Life Sciences, Novo Holdings"
Revance Therapeutics,Revance is a biotechnology company focusing on aesthetic and therapeutic offerings that enhance patient outcomes and physician experiences.,United States,101-250,"$1,679,526,000",USD,post_ipo_equity,"Biotechnology, Health Care, Pharmaceutical, Therapeutics",Revance Therapeutics,"Dan Browne, Jacob Waugh, Jeffery Bedard","Vivo Capital, Essex Woodlands Healthcare Partners, Novaquest Capital Management, Horizon Technology Finance, Athyrium Capital Management LP"
Crinetics Pharmaceuticals,Crinetics is a clinical-stage pharmaceutical company that develops therapies for people with rare endocrine diseases.,United States,251-500,"$1,646,000,012",USD,post_ipo_equity,"Biotechnology, Health Care, Pharmaceutical, Therapeutics",Crinetics Pharmaceuticals,"Scott Struthers, Stephen F. Betz, Yun-Fei Zhu","OrbiMed, RA Capital Management, Vivo Capital, Versant Ventures, 5AM Ventures"
