Company Name,Industry Sector,State,City,Employee Count,Website,Hiring IT Staff,Current IT Roles,Technology Stack,Compliance Requirements,Contact Info
BitGo,Financial Services/Cryptocurrency,California,Palo Alto,101-250,http://www.bitgo.com,Yes,Backend Engineer DevOps Engineer Security Engineer,"Node.js, Go, PostgreSQL, AWS","SOC2, PCI DSS",careers@bitgo.com:mailto:careers@bitgo.com
Betterment,Investment Management,New York,New York,101-250,http://www.betterment.com,Yes,Software Engineer Platform Engineer Data Engineer,"Python, AWS, Kubernetes, PostgreSQL","SOC2, SEC regulations",careers@betterment.com:mailto:careers@betterment.com
Alloy,Identity Verification/Banking,New York,New York,251-500,https://www.alloy.com,Yes,Software Engineer DevOps Engineer Security Engineer,"Ruby, PostgreSQL, AWS, Docker","SOC2, PCI DSS",careers@alloy.com:mailto:careers@alloy.com
FalconX,Digital Assets/Financial Services,California,San Mateo,251-500,http://www.falconx.io,Yes,Backend Engineer Infrastructure Engineer Security Engineer,"Python, AWS, Kubernetes, PostgreSQL","SOC2, Financial regulations",careers@falconx.io:mailto:careers@falconx.io
Altruist,Investment Management,California,Culver City,101-250,https://altruist.com,Yes,Full Stack Engineer DevOps Engineer Data Engineer,"React, Node.js, AWS, PostgreSQL","SEC regulations, SOC2",careers@altruist.com:mailto:careers@altruist.com
Lithic,Payment Processing,New York,New York,101-250,https://lithic.com,Yes,Software Engineer Platform Engineer Security Engineer,"Python, Go, AWS, PostgreSQL","PCI DSS, SOC2",careers@lithic.com:mailto:careers@lithic.com
Cowbell,Insurance Technology,California,Pleasanton,101-250,https://cowbell.insure,Yes,Software Engineer DevOps Engineer Data Engineer,"Python, AWS, Kubernetes, PostgreSQL","SOC2, Insurance regulations",careers@cowbell.insure:mailto:careers@cowbell.insure
Trinity Capital,Investment Firm,Arizona,Phoenix,101-250,https://trinitycap.com,Yes,IT Support Specialist Systems Administrator Technology Analyst,"Microsoft Office 365, Azure, SQL Server","SEC regulations, SOC2",careers@trinitycap.com:mailto:careers@trinitycap.com
Kashable,Financial Services,New York,New York,101-250,https://kashable.com,Yes,Software Engineer Platform Engineer DevOps Engineer,"Ruby, PostgreSQL, AWS, Docker","SOC2, Financial regulations",careers@kashable.com:mailto:careers@kashable.com
Elliott Investment Management,Hedge Fund,New York,New York,251-500,http://www.elliottmgmt.com,Yes,Quantitative Developer Infrastructure Engineer IT Support,"Python, C++, Bloomberg Terminal, Unix/Linux","SEC regulations, SOC2",careers@elliottmgmt.com:mailto:careers@elliottmgmt.com
