Company Name,Industry Sector,State,City,Employee Count,Website,Hiring IT Staff,Current IT Roles,Technology Stack,Compliance Requirements,Contact Info
Kaiser Permanente,Healthcare System,California,Oakland,250-500,https://www.kaiserpermanentejobs.org,Yes,"IT Engineer Applications, Senior IT Engineer Applications, IT Support Technician",Epic EHR Microsoft Healthcare IT systems,HIPAA,careers@kp.org:mailto:careers@kp.org
Northwell Health,Hospital System,New York,New Hyde Park,400-500,https://jobs.northwell.edu,Yes,"Chief Clinical Information Officer, IT Support, Information Technology positions",Epic Microsoft Healthcare analytics,HIPAA,careers@northwell.edu:mailto:careers@northwell.edu
ChristianaCare,Hospital System,Delaware,Newark,300-500,https://careers.christianacare.org,Yes,"Epic Senior IT Project Manager, IT Support positions",Epic EHR Microsoft Office Healthcare IT,HIPAA,careers@christianacare.org:mailto:careers@christianacare.org
Penn Medicine,Hospital System,Pennsylvania,Philadelphia,400-500,https://careers.pennmedicine.org,Yes,"Clinical Analyst, Application Analyst, IT Support",Epic Microsoft Clinical systems,HIPAA,careers@pennmedicine.org:mailto:careers@pennmedicine.org
University of Utah Health,Healthcare System,Utah,Salt Lake City,300-500,https://careers-uuhc.icims.com,Yes,"IT Support Technician, Desktop Support, DevOps Engineer",Microsoft Healthcare IT Epic,HIPAA,careers@healthcare.utah.edu:mailto:careers@healthcare.utah.edu
Intermountain Healthcare,Healthcare System,Utah,Salt Lake City,400-500,https://intermountainhealthcare.org/careers,Yes,"IT Support, Desktop Support, Healthcare IT positions","Epic EHR, Microsoft, Healthcare systems",HIPAA,careers@intermountainhealth.org
Banner Health,Hospital System,Arizona,Phoenix,300-500,https://www.bannerhealth.com/careers,Yes,"IT Support Specialist, Technical Support, System Administrator","Epic, Cerner, Microsoft",HIPAA,careers@bannerhealth.com
Dignity Health,Hospital System,California,San Francisco,250-500,https://www.dignityhealth.org/careers,Yes,"IT Analyst, Technical Support, Healthcare IT","Epic EHR, Microsoft Office, Healthcare IT systems",HIPAA,careers@dignityhealth.org
Scripps Health,Healthcare System,California,San Diego,300-500,https://www.scripps.org/careers,Yes,"IT Support, Clinical Systems Analyst, Technical Support","Epic, Microsoft, Clinical systems",HIPAA,careers@scripps.org
Renown Health,Hospital System,Nevada,Reno,200-400,https://www.renown.org/careers,Yes,"IT Technician, Desktop Support, Healthcare IT","Epic EHR, Microsoft, Healthcare systems",HIPAA,careers@renown.org
Northwestern Medicine,Hospital System,Illinois,Chicago,400-500,https://www.nm.org/careers,Yes,"IT Support, Clinical Systems Analyst, Healthcare IT",Epic EHR Microsoft Clinical systems,HIPAA,careers@nm.org:mailto:careers@nm.org
Johns Hopkins Medicine,Healthcare System,Maryland,Baltimore,450-500,https://jobs.hopkinsmedicine.org,Yes,"Clinical Data Specialist, Financial Systems Support Analyst, IT Support",Epic Microsoft Healthcare analytics,HIPAA,careers@jhmi.edu:mailto:careers@jhmi.edu
University of Maryland Medical System,Hospital System,Maryland,Baltimore,300-500,https://jobs.umms.org,Yes,"Information Systems Analyst, Technical Support Specialist, IT Support",Epic EHR Microsoft Healthcare IT systems,HIPAA,careers@umms.org:mailto:careers@umms.org
Advocate Health,Hospital System,Illinois,Chicago,350-500,https://www.advocatehealth.com/careers,Yes,"IT Analyst, Desktop Support, Healthcare Technology Officer",Epic Cerner Microsoft,HIPAA,careers@advocatehealth.com:mailto:careers@advocatehealth.com
Henry Ford Health,Healthcare System,Michigan,Detroit,300-450,https://www.henryford.com/careers,Yes,"IT Support Specialist, Clinical Systems Analyst, Healthcare IT",Epic EHR Microsoft Clinical applications,HIPAA,careers@hfhs.org:mailto:careers@hfhs.org
Sutter Health,Healthcare System,California,Sacramento,300-500,https://www.sutterhealth.org/careers,Yes,"IT Support Analyst, Clinical Systems Analyst, Healthcare IT Specialist",Epic EHR Microsoft Healthcare systems,HIPAA,careers@sutterhealth.org:mailto:careers@sutterhealth.org
Atlantic Health System,Hospital System,New Jersey,Morristown,300-450,https://www.atlantichealth.org/careers,Yes,"IT Support Specialist, Desktop Support, Healthcare Technology",Epic Microsoft Clinical applications,HIPAA,careers@atlantichealth.org:mailto:careers@atlantichealth.org
Main Line Health,Hospital System,Pennsylvania,Bryn Mawr,250-400,https://www.mainlinehealth.org/careers,Yes,"IT Analyst, Technical Support, Healthcare Systems",Epic EHR Microsoft Office Healthcare IT,HIPAA,careers@mainlinehealth.org:mailto:careers@mainlinehealth.org
Hackensack Meridian Health,Healthcare System,New Jersey,Edison,400-500,https://www.hackensackmeridianhealth.org/careers,Yes,"IT Support Technician, Clinical Systems Analyst, Healthcare IT",Epic Cerner Microsoft,HIPAA,careers@hmhn.org:mailto:careers@hmhn.org
St. Joseph Health,Hospital System,California,Irvine,300-500,https://www.providence.org/careers,Yes,"IT Support, Healthcare Technology Analyst, Clinical Systems",Epic EHR Microsoft Healthcare systems,HIPAA,careers@providence.org:mailto:careers@providence.org
Cleveland Clinic,Healthcare System,Ohio,Cleveland,450-500,https://jobs.clevelandclinic.org,Yes,"IT Support Specialist, Clinical Applications Analyst, Healthcare IT",Epic EHR Microsoft Clinical systems,HIPAA,careers@ccf.org:mailto:careers@ccf.org
Mount Sinai Health System,Hospital System,New York,New York,400-500,https://careers.mountsinai.org,Yes,"IT Analyst, Desktop Support, Healthcare Technology",Epic Microsoft Healthcare analytics,HIPAA,careers@mountsinai.org:mailto:careers@mountsinai.org
Jefferson Health,Healthcare System,Pennsylvania,Philadelphia,350-500,https://www.jefferson.edu/careers,Yes,"IT Support Technician, Clinical Systems Analyst, Healthcare IT",Epic EHR Microsoft Office Clinical applications,HIPAA,careers@jefferson.edu:mailto:careers@jefferson.edu
RWJBarnabas Health,Hospital System,New Jersey,West Orange,400-500,https://www.rwjbh.org/careers,Yes,"IT Support, Healthcare Technology Analyst, Desktop Support",Epic Cerner Microsoft,HIPAA,careers@rwjbh.org:mailto:careers@rwjbh.org
Stanford Health Care,Healthcare System,California,Palo Alto,300-500,https://stanfordhealthcare.org/careers,Yes,"IT Analyst, Clinical Systems Support, Healthcare Technology",Epic EHR Microsoft Healthcare systems,HIPAA,careers@stanfordhealthcare.org:mailto:careers@stanfordhealthcare.org
