Organization,Organization Description,Organization Status,Country,Region,City,Organization Employee Count,Organization Website,Organization Name,Founders,Investors
General Catalyst,General Catalyst collaborates with founders to support resilience and applied AI from seed to growth stages.,active,United States,California,San Francisco,101-250,http://www.generalcatalyst.com,General Catalyst,,
Y Combinator,Y Combinator is a startup accelerator that invests in a wide range of startups.,active,United States,California,Mountain View,51-100,http://www.ycombinator.com,Y Combinator,,
BitGo,"BitGo is a digital asset trust and security company that provides custody, financial services, and core infrastructure for investors.",active,United States,California,Palo Alto,101-250,http://www.bitgo.com,BitGo,,
B Capital,B Capital Group is a venture capital firm that backs global entrepreneurs in the field of information technology.,active,United States,California,Manhattan Beach,101-250,https://b.capital,B Capital,,
MoonPay,MoonPay is a fintech company providing payment infrastructure for converting fiat currencies into cryptocurrencies and NFTs.,active,United States,Delaware,Dover,251-500,https://www.moonpay.com,MoonPay,,
Index Ventures,Index Ventures is a venture capital firm that helps the entrepreneurs turn bold ideas into global businesses.,active,United States,California,San Francisco,101-250,http://www.indexventures.com,Index Ventures,,
Cowbell,"Cowbell provides cyber insurance for small and medium-sized businesses, as well as upmarket businesses using AI-driven risk assessment.",active,United States,California,Pleasanton,101-250,https://cowbell.insure,Cowbell,,
Trinity Capital,Trinity Capital is a provider of venture debt and equipment financing to venture-backed companies with institutional equity investors.,active,United States,Arizona,Phoenix,101-250,https://trinitycap.com,Trinity Capital,,
Betterment,Betterment is an online investment company that offers investing and retirement solutions for their current clients and clients-to-be.,active,United States,New York,New York,101-250,http://www.betterment.com,Betterment,,
Zip,Zip is an intake and procurement orchestration platform that enables users to initiate purchase requests across the enterprise.,active,United States,California,San Francisco,251-500,https://www.ziphq.com,Zip,,
Alloy,Alloy is a developer of an identity verification platform used to detect fraud and make identity management effective and simple for banks.,active,United States,New York,New York,251-500,https://www.alloy.com,Alloy,,
Clearlake Capital Group,"Clearlake Capital Group is a private equity group that invests in communications, healthcare, and industrial companies.",active,United States,California,Santa Monica,101-250,https://clearlake.com,Clearlake Capital Group,,
Stellar Development Foundation,"Stellar Development Foundation supports the development and growth of Stellar, a blockchain network that connects financial infrastructure.",active,United States,California,San Francisco,101-250,https://www.stellar.org,Stellar Development Foundation,,
FalconX,"FalconX is a digital assets prime brokerage providing trading, financing, and custody services.",active,United States,California,San Mateo,251-500,http://www.falconx.io,FalconX,,
Fieldguide,Agentic AI for Audit and Advisory.,active,United States,California,San Francisco,101-250,https://www.fieldguide.io,Fieldguide,,
Altruist,Altruist is a modern custodian that offers a digital investment platform for financial advisors to manage their clients' investments.,active,United States,California,Culver City,101-250,https://altruist.com,Altruist,,
TomoCredit,"AI financial wellness platform- smarter, inclusive financial opportunities for everyone- win win for both consumers and lenders",active,United States,California,San Francisco,51-100,https://www.tomocredit.com,TomoCredit,,
Paradigm,Paradigm is a research-driven crypto investment firm that funds companies and protocols from their earliest stages.,active,United States,California,San Francisco,51-100,https://paradigm.xyz,Paradigm,,
Stonepeak,"Stonepeak Infrastructure Partners invests in infrastructure assets with stable cash flows, inflation linkage, and high barriers to entry.",active,United States,New York,New York,251-500,https://stonepeak.com,Stonepeak,,
Kashable,Kashable is a fintech platform that provides employees with access to socially responsible credit and financial wellness solutions.,active,United States,New York,New York,101-250,https://kashable.com,Kashable,,
Elliott Investment Management,Elliott Management Corporation is a privately owned hedge fund sponsor.,active,United States,New York,New York,251-500,http://www.elliottmgmt.com/,Elliott Investment Management,,
Solana,Solana is a blockchain platform designed for decentralized applications and cryptocurrencies.,active,United States,California,San Francisco,51-100,https://solana.com,Solana,,
Rogo,Rogo is a secure Generative AI platform purpose-built for elite financial institutions.,active,United States,New York,New York,51-100,https://rogo.ai,Rogo,,
Lithic,Lithic is a financial technology startup that provides virtual cards and a card issuing platform for businesses and consumers.,active,United States,New York,New York,101-250,https://lithic.com,Lithic,,
RentSpree,"RentSpree provides software with a universal tenant screening process, renter management, partnership programs, and rental screening API.",active,United States,California,Los Angeles,101-250,http://www.rentspree.com,RentSpree,,
Accel-KKR,Accel-KKR is a technology-focused private equity firm specialized in growth and middle market investments.,active,United States,California,Menlo Park,101-250,http://www.accel-kkr.com,Accel-KKR,,
Kalshi,Kalshi is an exchange app that allows people to trade on event outcomes.,active,United States,New York,New York,51-100,https://kalshi.com,Kalshi,,
Roots,"Roots is an AI-powered digital solution for the insurance industry that provides claims management, underwriting, and Insurtech.",active,United States,New York,New York,101-250,https://www.roots.ai,Roots,,
Bilt Rewards,Bilt Rewards offers a rewards program that allows renters to earn points on rent and create a path towards homeownership.,active,United States,New York,New York,101-250,https://www.biltrewards.com,Bilt Rewards,,
CoinEx,CoinEx is a global and professional digital coin exchange service provider.,active,United States,California,Los Angeles,251-500,https://www.coinex.com/,CoinEx,,
Zest AI,Zest AI is an AI lending technology company that leverages machine learning technology to enhance credit underwriting processes.,active,United States,California,Burbank,101-250,http://zest.ai,Zest AI,,
Vontive,Vontive is an embedded mortgage platform for investment real estate.,active,United States,California,San Francisco,51-100,https://www.vontive.com/,Vontive,,
Recurly,"Subscription billing management SaaS platform powering 2,000+ brands including Sling TV, BarkBox, Asana, FabFitFun, Cinemark & Twitch",active,United States,California,San Francisco,251-500,http://recurly.com,Recurly,,
Jerry,"Jerry is America's first AllCar™ app. Drivers compare car insurance policies, maintenance and repair costs, and earn safe driving rewards.",active,United States,California,Palo Alto,251-500,https://jerry.ai,Jerry,,
ICONIQ Growth,"ICONIQ Growth is an investment firm that investing Early Stage, and Late Stage Venture companies.",active,United States,California,San Francisco,251-500,http://www.ICONIQGrowth.com,ICONIQ Growth,,
Vivo Capital,Vivo is a global investment firm focused on healthcare with approximately $5.8 billion in AUM,active,United States,California,Palo Alto,51-100,http://vivocapital.com/,Vivo Capital,,
8VC,8VC invests in innovative technologies that create economic and societal value.,active,United States,California,San Francisco,51-100,http://www.8vc.com,8VC,,
500 Global,500 Global is a multi-stage venture capital firm that invests in founders building fast-growing technology companies.,active,United States,California,San Francisco,251-500,http://500.co,500 Global,,
Flutterwave,Flutterwave is a fintech company that provides payment solutions for businesses.,active,United States,California,San Francisco,251-500,https://www.flutterwave.com,Flutterwave,,
Cherry,Cherry is a payment solutions company that offers fast and easy payment plans for medical practices.,active,United States,California,San Francisco,101-250,https://withcherry.com/,Cherry,,
Theta Lake,"Theta Lake is a pioneer in Digital Communications Governance and Archiving with cutting-edge compliance, governance, and supervision",active,United States,California,Santa Barbara,101-250,https://thetalake.com,Theta Lake,,
BitMart,BitMart is a digital asset trading platform that focuses on cryptocurrency.,active,United States,New York,New York,251-500,https://www.bitmart.com,BitMart,,
Motive Partners,Motive Partners is an investment firm focused on technology-enabled companies that power the financial services industry.,active,United States,New York,New York,101-250,https://www.motivepartners.com,Motive Partners,,
SmartAsset,"SmartAsset is an online destination for financial advice that powers SmartAdvisor, a marketplace connecting consumers to financial advisors.",active,United States,New York,New York,251-500,https://smartasset.com/,SmartAsset,,
Clarity AI,Clarity AI is a sustainability technology platform that uses machine learning to deliver environmental and social insights to investors.,active,United States,New York,New York,251-500,https://clarity.ai,Clarity AI,,
Airbase,"Airbase is a software company that offers spend management, bill payments, and invoice processing services.",active,United States,California,San Francisco,251-500,https://www.airbase.com/,Airbase,,
FTV Capital,"FTV Capital is a growth equity firm focused on enterprise solutions, financial services, and payments and transaction processing.",active,United States,California,San Francisco,101-250,http://www.ftvcapital.com,FTV Capital,,
Nayya,Nayya is a software and data infrastructure company that helps employees control their health and financial potential.,active,United States,New York,New York,101-250,http://www.nayya.com,Nayya,,
Securitize,"Securitize is a technology company that enables digital securities, which are easier to own, simpler to manage, and faster to trade.",active,United States,California,San Francisco,101-250,https://securitize.io,Securitize,,
Trust & Will,Trust & Will is a digital estate planning platform that offers legally valid estate planning documents that comply with state guidelines.,active,United States,California,San Diego,101-250,https://www.trustandwill.com,Trust & Will,,
Kickstarter,"Kickstarter is a crowdfunding platform for creative projects such as movies, music, art, theater, games, comics, design, and photography.",active,United States,New York,Brooklyn,51-100,https://www.kickstarter.com,Kickstarter,,
Taktile,Taktile is a software platform that helps users create automated risk management decisions.,active,United States,New York,New York,101-250,https://www.taktile.com,Taktile,,
Mosaic,Mosaic is a residential solar lending platform that enables people to profit from the benefits of clean energy.,active,United States,California,Oakland,101-250,https://joinmosaic.com,Mosaic,,
HappyCo,HappyCo is taking traditional paper based processes out of the dark ages for property management,active,United States,California,San Francisco,101-250,https://happy.co/,HappyCo,,
COVU,COVU's mission is to help everyday people and growth-oriented insurance professionals reduce risk and manage insurance smarter.,active,United States,California,Redwood City,51-100,https://covu.com/,COVU,,
MoBagel,"MoBagel empowers enterprises with an Agentic AI Builder for Business Intelligence reporting, forecasting and workflow automation at scale.",active,United States,California,Santa Clara,101-250,https://mobagel.com,MoBagel,,
Antares Capital,Antares Capital is a financial services company offering cash flow lending and financing solutions.,active,United States,Illinois,Chicago,251-500,http://antares.com,Antares Capital,,
Kiavi,Kiavi is a tech-enabled lender that provides residential real estate investors with financing solutions for property investments.,active,United States,California,San Francisco,251-500,https://www.kiavi.com,Kiavi,,
Phoenix Energy,"Phoenix Energy, FKA “Phoenix Capital Group,” is a leading energy company specializing in oil and gas production and mineral acquisitions.",active,United States,California,Irvine,101-250,https://www.phoenixenergy.com/,Phoenix Energy,,
RightRev,"RightRev provides software for revenue recognition that helps to track revenue contracts, quote, orders, invoices, and management reporting.",active,United States,California,Santa Clara,51-100,https://rightrev.com,RightRev,,
AngelList,AngelList is a fundraising platform that allows investors to connect with and invest directly in early-stage startups.,active,United States,California,San Francisco,101-250,https://www.angellist.com,AngelList,,
zerohash,zerohash is an on-chain infrastructure provider,active,United States,Illinois,Chicago,101-250,https://zerohash.com,zerohash,,
MidCap Financial,"MidCap Financial is a middle market-focused, specialty finance firm that provides senior debt solutions to companies across all industries.",active,United States,Maryland,Bethesda,251-500,http://www.midcapfinancial.com,MidCap Financial,,
Trunk Tools,"Trunk Tools is a construction AI platform that automates construction workflows for project managers, superintendents, and executivies.",active,United States,New York,New York,51-100,https://trunktools.com,Trunk Tools,,
NMI,NMI provides payments enablement technology.,active,United States,Illinois,Roselle,251-500,https://www.nmi.com/,NMI,,
HoneyBook,HoneyBook is the leading AI-powered business management platform for service-based entrepreneurs.,active,United States,California,San Francisco,251-500,http://www.honeybook.com,HoneyBook,,
Atomic,Atomic is a provider of personalized investment management services that companies embed into their services.,active,United States,California,San Francisco,51-100,https://www.atomicvest.com,Atomic,,
Everstage,Everstage is a no-code commissions automation tool that provides a sales management platform for companies.,active,United States,New York,New York,101-250,https://www.everstage.com,Everstage,,
Atlys,Atlys is an online platform that offers visa application processes and travel services.,active,United States,California,San Francisco,101-250,https://www.atlys.com,Atlys,,
Digital Asset,"Digital Asset develops ledger technology intended to build distributed, encrypted straight-through processing tools.",active,United States,New York,New York,101-250,http://www.digitalasset.com,Digital Asset,,
Imprint,Imprint provides co-branded credit cards by collaborating with global brands to enhances user experience and rewards,active,United States,New York,New York,101-250,https://www.imprint.co,Imprint,,
SavvyMoney,SavvyMoney’s robust credit score solutions and digital personalization build customer loyalty and strengthen your bottom line.,active,United States,California,Dublin,101-250,http://www.savvymoney.com,SavvyMoney,,
Pico,Pico is a provider of technology services for the global financial markets community.,active,United States,New York,New York,251-500,https://www.pico.net,Pico,,
Clutch,"Clutch transforms Credit Unions into FinTechs, enhancing loan and deposit onboarding.",active,United States,California,Half Moon Bay,101-250,https://www.withclutch.com,Clutch,,
